name,brand,model,sku,price,rating,rating_amount,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_
JAM - Tune In In-Ear Wireless Sport Headphones - Black,JAM,HX-EPC202BK,6359337,39.99,3.4,27,1,in,12,1,isolate,resist,
Skullcandy - Indy Evo True Wireless In-Ear Headphones - True Black,Skullcandy,S2IVW-N740,6412868,79.99,4,181,1,in,6,1,cancel,resist,
Skullcandy - Indy ANC True Wireless In-Ear Headphones - True Black - True Black,Skullcandy,S2IYW-N740,6427091,129.99,,,1,in,,0,isolate,,8.10016E+11
JBL - TUNE 120TWS True Wireless In-Ear Headphones - Black,JBL,JBLT120TWSBLKAM,6356676,99.99,4,640,1,in,,1,isolate,,
Sony - MDR-Z7M2 Over-the-Ear Headphones - Black,Sony,MDRZ7M2,6305335,599.98,4.5,20,0,,,1,isolate,,
TCL - SOCL series SOCL300BL Wired In-Ear Headphones - Ocean Blue,TCL,SOCL300BLNA,6392372,14.99,,,0,in,,1,isolate,,
Sennheiser - MOMENTUM True Wireless Earbud Headphones - Silver/Black,Sennheiser,MOMENTUM TRUE WIRELESS,6311203,299.98,4.1,482,1,in,,1,isolate,resist,
Sony - WF-SP800N True Wireless Noise-Cancelling In-Ear Headphones - Black,Sony,WFSP800N/B,6408358,148,4.3,244,1,in,9,1,cancel,,
Skullcandy - Cassette Wireless On-Ear Headphones - Cobalt Blue,Skullcandy,S5CSW-M712,6411958,29.99,4.5,2,1,on,22,1,cancel,,
"JBL - Quantum 200 Wired Stereo Gaming Headset for PC, PS4, Xbox One, Nintendo Switch and Mobile Devices - Black",JBL,JBLQUANTUM200BLKAM,6408562,59.99,3.9,7,0,,,1,isolate,,
JBL - TUNE 110BT Wireless In-Ear Headphones - Black,JBL,JBLT110BTBLKAM,6391287,39.99,4,6,1,in,6,1,isolate,,
Skullcandy - Indy True Wireless In-Ear Headphones - Indigo Blue,Skullcandy,S2SSW-M704,6378522,84.99,3.6,1478,1,in,,1,isolate,resist,
JVC - HA EC20BT Wireless In-Ear Headphones (iOS) - Blue,JVC,HA-EC20BTA,6001123,32.99,3.8,973,1,in,,1,isolate,resist,
"BuddyPhones InFlight, 3 step volume setting - Pink",BuddyPhones,24754VRP,6432423,29.99,5,1,0,on,,0,isolate,,7.86472E+11
JAM - Live Loose Wireless In-Ear Headphones - Blue,JAM,HX-EP202BL,6277522,21.99,4.4,5,1,in,6,1,isolate,resist,
