name,price,rating,num_rating,brand,model,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,retailer,is_success
Bowers & Wilkins P3 Headphones - White/Grey,,3.7,381.0,Bowers & Wilkins,P3,0.0,on,,1.0,isolate,,amazon,False
TeaBoy Wireless Wired Bluetooth Headphones Over Ear Cat Ear Headphones with LED Light Foldable Built-in Mic and Volume Control for Cell Phones/iPhone/iPad/Laptop/PC/TV Kids Boys Girls Friends,27.99,,,TeaBoy,,1.0,over,,1.0,,,amazon,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 Over Ear Quick Charge Wireless Headset Comfortable Lightweight,,,,N&F,,1.0,over,,1.0,,,amazon,
H&H Official Blue Classic Megaman Headphone,,5.0,3.0,Home & Happiness,,0.0,over,,0.0,cancel,,amazon,True
Mobile Wireless Bluetooth Garrix-Martin Customized Over Ear Headphones Black,,,,5NM3F87UJJ,,1.0,over,,0.0,,,amazon,
Avengers Infinity War Headphones for Kids with Built in Volume Limiting Feature for Kid Friendly Safe Listening,30.0,4.3,46.0,EKids,AV-140v8M,0.0,over,,0.0,,,amazon,True
Hamilton Buhl Kid's Durable Flex-Phones Foam Headphones Kindergarten Purple (Kids-PPL),26.86,3.7,12.0,HamiltonBuhl,"HamiltonBuhl KIDS-PPL Flex-Phones Foam Headphones, Purple, Kindergarten Grade to 3 Grade",0.0,over,,0.0,,,amazon,False
TAOZG Bluetooth Headphones Over Ear Wireless Headset 57mm Drive HiFi Bluetooth Earphone with mic for Phone Music Sports (Color : Black),92.52,,,,,1.0,on,,1.0,isolate,,amazon,
"3.5mm Over-The-Ear Wired Hands-Free Boom Headset Mono Headphone Single Earphone with Microphone for iPad 1 2 3 4, iPad 5, iPad Air/Air 2, iPad Mini/Mini 2 / Mini 3 / Mini with Retina Display",24.99,2.7,17.0,Fonus,,0.0,over,,1.0,,,amazon,False
"Wireless Bluetooth Headphones for Kids, Adorable Cat Ears Over-Ear Headphones Foldable Luminous Headset Bluetooth5.0 Volume Limiting, LED Lights, FM Radio, TF Card for Over 5 Years Old",26.51,,,,,0.0,,,0.0,,,amazon,
ISK HF-2010 Semi-Open Monitor Headphones Stereo HiFi DJ Professional Studio Monitoring,,5.0,1.0,ISK,,0.0,over,,1.0,,,amazon,True
Docooler Wireless Over-Ear Earphone BT Headphones Stereo Headsets Foldable Headphones MP3 Player TF Card FM Radio Earphone Hands-Free w/Mic Compatible with Smartphones Laptop Notebook,25.99,,,,,1.0,over,8.0,1.0,cancel,,amazon,
Roland RH-200 Monitor Headphones,109.99,4.4,40.0,Roland,RH-200,0.0,over,,0.0,isolate,,amazon,True
"Wireless Bluetooth Headphones, for Apple, Samsung, LG, Android, Premium Over The Ear Headphones (Black)",,,,MaxTech Superstore,,1.0,over,8.0,1.0,,,amazon,
Replacement Earpad Cushions for Sennheiser Momentum Over-Ear Headphone with ITIS Cable Clip (Brown),8.99,5.0,1.0,It is,,0.0,over,,0.0,,,amazon,True
Wireless Over Ear Bluetooth Headphones Headphones Active Noise Cancelling Bluetooth 5.0 Microphone Memory Foam Ear Cups Rechargeable Foldable HiFi Stereo Headset,,,,,,1.0,over,,1.0,,,amazon,
"Earbuds Bluetooth wireless headset, Hifi Stereo Headphones, Foldable Bluetooth Headphones over Ear with Microphone, Hi-fi Stereo Wireless earplugs, noise reduction headphones Deep Bass Wireless Headse",55.35,,,,,0.0,,,1.0,reduct,,amazon,
"Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Microphone Bluetooth 5.0 Comfortable Lightweight Rechargeable for Kids, Adults, Travel, Online Class, Home Office Wireless Headset",34.0,,,,,1.0,,,1.0,,,amazon,
"Plztou Bluetooth Headphones Wireless,Over Ear Headset with Microphone, Foldable & Lightweight, Support TF Card MP3 Mode and Fm Radio for Cellphones Laptop TV - Red (Color : White)",48.58,,,,,1.0,,10.0,1.0,cancel,,amazon,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 Wired Wireless Headset Memory Foam Ear Cups Lightweight Rechargeable,,,,N&F,,1.0,over,9.0,0.0,,,amazon,
"LZ Kids Headphones Noise-Canceling Over Ear Headphones Kids Wired Headphones for Kids Adjustable Headband Stereo Sound 2.5Mm Aux Jack 85Db - Children's Headphones,Yellow",49.49,,,,,0.0,,,0.0,,,amazon,
"Over Ear Headphones with Mic, Colorful Butterflies 1 Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,0.0,,,0.0,,,amazon,
"Panasonic Sports Clip Earbud Headphones RP-HS34-W (White) Water Resistant, Tough, Durable, Adjustable Ear Clip, Ultra Light",14.9,4.2,4837.0,Panasonic,RP-HS34-W,0.0,over,,0.0,,,amazon,True
TAOZG Active Noise Cancelling Headphones Bluetooth Headphones with Wireless Headphones Over Ear (Color : Blue),207.98,,,,,1.0,,,0.0,cancel,,amazon,
"A-Audio A21 Over Ear Wireless Bluetooth Headphones, Chrome",,3.3,17.0,A-Audio,,1.0,,,0.0,cancel,,amazon,False
"Drive Audio Compatible with Wireless Headphones for Toyota & Lexus (2 Pack) fits Sienna, Venza, Sequoia, Land Cruiser, Highlander, 4Runner, Tundra, Camry, Avalon, GX, LS, RX, LX, NX, 350, 450H",,4.7,92.0,,,1.0,,,0.0,,,amazon,True
