name,price,rating,rating_amount,brand,model,ASIN,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_
Wireless Over Ear Bluetooth Headphones Headphones Active Noise Cancelling Bluetooth 5.0 Microphone Memory Foam Ear Cups Rechargeable Foldable HiFi Stereo Headset,,,,,,B08M5Y5D76,1,over,,1,,,
"Earbuds Bluetooth wireless headset, Hifi Stereo Headphones, Foldable Bluetooth Headphones over Ear with Microphone, Hi-fi Stereo Wireless earplugs, noise reduction headphones Deep Bass Wireless Headse",55.35,,,,,B08L218SZ2,0,,,1,reduct,,
"Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Microphone Bluetooth 5.0 Comfortable Lightweight Rechargeable for Kids, Adults, Travel, Online Class, Home Office Wireless Headset",34,,,,,B08MPXZLBC,1,,,1,,,
"Plztou Bluetooth Headphones Wireless,Over Ear Headset with Microphone, Foldable & Lightweight, Support TF Card MP3 Mode and Fm Radio for Cellphones Laptop TV - Red (Color : White)",48.58,,,,,B08MZZRFX5,1,,10,1,cancel,,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 Wired Wireless Headset Memory Foam Ear Cups Lightweight Rechargeable,,,,N&F,,B08M9RL3W5,1,over,9,0,,,
"LZ Kids Headphones Noise-Canceling Over Ear Headphones Kids Wired Headphones for Kids Adjustable Headband Stereo Sound 2.5Mm Aux Jack 85Db - Children's Headphones,Yellow",49.49,,,,,B08K8CDJ2S,0,,,0,,,
"Over Ear Headphones with Mic, Colorful Butterflies 1 Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MQ27SM5,0,,,0,,,
"Panasonic Sports Clip Earbud Headphones RP-HS34-W (White) Water Resistant, Tough, Durable, Adjustable Ear Clip, Ultra Light",14.9,4.2,4837,Panasonic,RP-HS34-W,B00LJDB9SO,0,over,,0,,,
TAOZG Active Noise Cancelling Headphones Bluetooth Headphones with Wireless Headphones Over Ear (Color : Blue),207.98,,,,,B08MXHQ77X,1,,,0,cancel,,
"A-Audio A21 Over Ear Wireless Bluetooth Headphones, Chrome",,3.3,17,A-Audio,,B00OUWQ1K2,1,,,0,cancel,,
"Drive Audio Compatible with Wireless Headphones for Toyota & Lexus (2 Pack) fits Sienna, Venza, Sequoia, Land Cruiser, Highlander, 4Runner, Tundra, Camry, Avalon, GX, LS, RX, LX, NX, 350, 450H",,4.7,92,,,B071F8Z96F,1,,,0,,,
Headphone California Institution of Technology Lightweight Headset Wired Headphones with Mic Over Ear Cartoon Men's Stereo Headsets for Travel Smartphone and Tv-3.5Mm,21.99,,,,,B08LK4LZ3K,0,on,,0,,,
AUDEZE Planar Magnetic Over-Ear Open-Circumaural Headphones LCD-1【Japan Domestic Genuine Products】【Ships from Japan】,,,,A,,B084H9G5L7,0,over,,0,,,
"Earbuds Bluetooth wireless headset, Bluetooth Headphones, Surround Sound Adjustable Hifi Headphones over Ear with Microphone, Wireless earplugs, noise reduction headphones Active Noise Cancelling Wire",295.07,,,,,B08L28MGKR,0,,,0,isolate,,
Audio-Technica ATH-S700BT SonicFuel Bluetooth Over-Ear Headphones Bundle with Knox Gear Aluminum Stand and Case Bundle (3 Items),141.9,,,Audio-Technica,,B08298DL14,1,over,,0,,,
"Camidy Wireless Over-Ear Headphone, Foldable Stereo Headset with Noise Concealing Pad Gaming Headset",26.99,,,Camidy,,B08HL7P6FD,1,over,,0,,,
"Alltrum Wireless On-Ear Headphone Wireless Headsets for Sports, LED Light, Lightweight Style,Built-in Microphone, SD Slot, FM, Wired Modes for Smartphones/PC/Tablets, Black and Green",40.97,,,Alltrum,,B07PPKY7WH,0,on,40,1,,,
"Audeze EL-8 Titanium, Over Ear, Closed Back Headphone",,4.5,6,Audeze,,B01FE8VM8Q,1,,,1,,,
"Kids Headphones, Foldable Wired Headset for Kids Teens Boys Girls, Adjustable On-Ear Headphones for School, Travel, Compatible with Cellphones, Tablets, Blue (Pink)",16.99,3.9,159,COREMEE GIIK,,B083TXFRMY,0,over,,1,,,
"Over Ear Headphones with Mic, Multidimensional Illusion Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MT9YLQ7,0,,,0,,,
DJ Bass Headphone Headset with Mic 3.5mm Wired Over Ear Stereo Earphone Foldable (Red),,,,Tinani,,B083GGCN55,0,over,24,1,reduct,,
My Zone Wireless Headphones,51,3.4,1223,Telebrands,,B005INJ4ZG,1,over,,0,,,
Shure SRH145m+ Portable Collapsible Headphones with Remote and Microphone Compatible with All Apple iOS Devices,51.8,4,327,Shure,SRH145m+,B00MZCEJO4,0,on,,1,isolate,,
"Over Ear Headphones with Mic, Purple Butterfly 4 Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MTPZDTX,0,,,0,,,
Sony MDR-XD100 Stereo Headphones (Discontinued by Manufacturer),65.95,3.9,338,Sony,MDR-XD100,B0007N55NM,0,on,,0,,,
AVID Education AE-808 Stereo Classroom Headphone with Volume Control,16.95,4.3,81,AVID Education,AE-808,B00B60FI1Y,0,in,,0,,,
aGreatLife Safest Rated Noise Cancelling Headphones,16.49,4.5,16,AGREATLIFE,,B06XQTQ52S,1,over,,0,reduct,,
Quest Wirefree Pro Lightweight Wireless Over Ear Headphones 2.4 GHz & Bluetooth,155.95,,,Quest Metal Detectors,,B08JH5DBHK,1,over,,1,,,
SANON Headphone Wireless BT Foldable Over Ear Stereo Earphone with Super Bass Headset Active Noise Cancellation Black+Blue,23.99,,,SANON,,B08MTLBYSH,1,in,,1,reduct,,
"Sleep Headphones Bluetooth Headband, VEOOVE Bluetooth-Sport -Headband-Headphones with Mic HD Stereo Speakers Perfect for Sleeping Workout Running Insomnia Side Sleepers Air Travel, Yoga",,4.6,6,VEOOVE,,B088PD25D4,1,,10,0,,,
"Children Headphones,Portable Noodle-Shaped Foldable Stereo Kids Wired Headset,Over-Ear Kid Headphone with Built-in Mic,for Boys/Girls/School/Gift/Smartphones(Black)",14.99,,,Mugast,,B083WFVTFW,0,over,,1,,,
Koss ProDj200 Studio Headphone - Black/Silver,49.49,4.5,214,Koss,ProDj200,B007CNC79A,0,on,,1,isolate,,
YTCYKJ Stereo Headphones Folding Deep Bass Earphone 3.5mm Heavy Bass Game Headset-Black,8.35,3.5,2,YTCYKJ,,B083535V76,0,over,,0,reduct,,
"Over Ear Headphones with Mic, Colored Smoke Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MQGH9PZ,0,,,0,,,
My-Hero ACA-De-Mia Foldable Wireless Bluetooth Earbuds Noise Reduction Hi-Fi Stereo Over-Ear Earphone Portable Comfortable Music Gaming Headphones,,,,,,B08LZNW42K,1,,,0,,,
Shopkins D'lish Donut Plush Headphones (Pink),22.99,4.7,20,Shopkins,,B01MSJSYLW,0,over,,0,,,
"Aikwoo Kids Headphones, Foldable Over-Ear Kids Headphones, Wired Snug Play 85dB Volume Limiting Hearing Protection with Friendly Protective Materials for Kids. (Pink)",,4.2,19,Aikwoo,,B07JM9VB2B,0,over,,1,isolate,,
"Over Ear Headphones with Mic, Daisy Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MT3D8R9,0,,,0,,,
Grand Caravan DVD Headphones Headsets (Set of 2) 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 Model Years.,84.99,4.6,59,U-Connect,,B00BZN3ECM,1,over,,0,,,
Mobile Wireless Bluetooth Monster_GZL Various Over Ear Headphones Black,,,,AMAOZNBSTEER,,B07KV1L6GW,0,over,,1,cancel,,
Men's Boys Siberian Husky Foldable Headphones Over Ear Headset Wired Headphones Stereo Earphone Receiver Headphone for Mens Laptops,22.99,,,,,B08LP9YM2M,0,,,0,reduct,,
Audiovox Dual Channel Wireless Fold-Flat Headphones with Batteries,23.1,4.1,101,Audiovox,MTGHP2CA,B00LDDE4LY,1,over,,0,,,
"PORG Fusion Stereo Headphones Lightweight with Mic Over Ear, Sport Headsets for iPhone, Ipad, Smartphone and Tv 3.5Mm Black",25.2,,,Lauyocren,,B07CVF4YVS,0,over,,1,cancel,,
FM Wireless Headphones Over-Ear Music Earphones with 3.5mm & RCA Wired Headset Support FM Radio for TV PC Phones MP3 Player,30.39,,,Sazoley,,B08LVMCN14,0,over,,0,cancel,,
"Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 Quick Charge Comfortable Lightweight HiFi Stereo Headset for Kids, Adults, Travel, Online Class, Home Office",,,,N&F,,B08M5V3ZXG,1,over,,0,,,
"WIOR Bluetooth Beanie Hat, Slouchy Warm Winter Knitted Cuff Cap Music Hat w/Built-in HD Stereo Headphone & Mic for Outdoor Sports, Skiing, Skateboarding, Jogging, Gift for Men Women Boys Girls - Black",,,,,,,1,,8,1,,,
"Over Ear Headphones with Mic, Purple Roses 3 Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MTFWDTW,0,,,0,,,
Headphone Dipper and Mabel Lightweight Headset Wired Headphones with Mic Over Ear Cute Women's Stereo Headsets for Office Smartphone and Tv 3.5Mm,21.99,,,,,B08LNKPRYW,0,on,,0,,,
"qwrew Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",12.03,,,Qwrew,,B089DC2K5H,1,over,,1,cancel,,
Sony MDR-J10 h.ear Headphones with Non-Slip Design (Black),,3.8,2759,Sony,MDR-J10,B000092YR6,0,over,,0,,,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 40 hr Battery Lightweight Memory Foam Ear Cups HiFi Stereo Headset,,,,N&F,,B08M8YQ19C,1,over,,1,reduct,,
